num,answers,type,choices
122,"4",text,4
123,"3",text,4
124,"3",text,4
125,"3",text,4
126,"2|4",text,4
127,"1|2",text,4
128,"3|4",text,4
129,"3|4",text,4
130,"3",text,4
131,"1",text,4
132,"2",text,4
133,"3",text,4
134,"2|3",text,4
135,"3",text,4
136,"1",text,4
137,"3",text,4
138,"1",text,4
139,"1",text,4
140,"3",text,4
141,"4",text,4
142,"4",text,4
143,"4",text,4
144,"4",text,4
145,"2",text,4
146,"2",text,4
147,"1",text,4
148,"1",text,4
149,"4",text,4
150,"4",text,4
151,"3",text,4
152,"1",text,4
153,"1",text,4
154,"4",text,4
155,"4",text,4
156,"2",text,4
157,"1",text,4
158,"3",text,4
159,"4",text,4
160,"3",text,4
161,"1",text,4
162,"3",text,4
163,"4",text,4
164,"2",text,4
165,"4",text,4
166,"1",text,4
167,"1",text,4
168,"4",text,4
169,"4",text,4
170,"2",text,4
171,"3",text,4
172,"4",text,4
173,"1",text,4
174,"2|4",text,4
175,"3|4",text,4
176,"2|3",text,4
177,"4",text,4
178,"3",text,4
179,"4",text,4
180,"3",text,4
181,"2",text,4
182,"3",text,4
183,"1",text,4
184,"3",text,4
185,"3",text,4
186,"1",text,4
187,"3",text,4
188,"3",text,4
189,"2",text,4
190,"2",text,4
191,"3",text,4
192,"1",text,4
193,"1",text,4
194,"3",text,4
195,"1|4",text,4
196,"1|4",text,4
197,"4",text,4
198,"3",text,4
199,"2",text,4
200,"4",text,4
201,"4",text,4
202,"3",text,4
203,"3",text,4
204,"1",text,4
205,"4",text,4
206,"2",text,4
207,"3",text,4
208,"4",text,4
209,"1",text,4
210,"4",text,4
211,"1",text,4
212,"4",text,4
213,"3",text,4
214,"3",text,4
215,"1",text,4
216,"1",text,4
217,"1",text,4
218,"1",text,4
219,"2",text,4
220,"2",text,4
221,"4",text,4
222,"1",text,4
223,"3",text,4
224,"3",text,4
225,"1",text,4
226,"1|3",text,4
227,"4",text,4
228,"4",text,4
229,"4",text,4
230,"3",text,4
231,"1",text,4
232,"4",text,4
233,"1",text,4
234,"2",text,4
235,"1",text,4
236,"2",text,4
237,"2",text,4
238,"4",text,4
239,"3",text,4
240,"3",text,4
241,"3",text,4
242,"4",text,4
243,"4",text,4
244,"4",text,4
245,"2",text,4
246,"1|3",text,4
247,"2|3",text,4
248,"3|4",text,4
249,"1|3",text,4
250,"1|2",text,4
251,"3|4",text,4
252,"4",text,4
253,"2",text,4
254,"1",text,4
255,"4",text,4
256,"4",text,4
257,"2",text,4
258,"2",text,4
259,"2|4",text,4
260,"3|4",text,4
261,"2",text,4
262,"3",text,4
263,"3",text,4
264,"1",text,4
265,"2",text,4
266,"1",text,4
267,"2",text,4
268,"4",text,4
269,"2",text,4
270,"3|4",text,4
271,"1|4",text,4
272,"4",text,4
273,"2",text,4
274,"1",text,4
275,"4",text,4
276,"2",text,4
277,"4",text,4
278,"3",text,4
279,"3",text,4
280,"2",text,4
281,"2",text,4
282,"3",text,4
283,"3",text,4
284,"4",text,4
285,"1",text,4
286,"4",text,4
287,"3",text,4
288,"2",text,4
289,"2|4",text,4
290,"3|4",text,4
291,"4",text,4
292,"3",text,4
293,"1",text,4
294,"2|3",text,4
295,"1",text,4
296,"1",text,4
297,"1",text,4
298,"3",text,4
299,"1|2",img,4
300,"4",text,4
301,"4",text,4
302,"3",text,4
303,"4",text,4
304,"3",text,4
305,"1",text,4
306,"1",text,4
307,"1",text,4
308,"3",text,4
309,"1",text,4
310,"2",text,4
311,"2",text,4
312,"1",text,4
313,"4",text,4
314,"1",text,4
315,"1",text,4
316,"1",text,4
317,"4",text,4
318,"4",text,4
319,"1",text,4
320,"2|4",text,4
321,"1|2",text,4
322,"2",text,4
323,"3",text,4
324,"2",text,4
325,"4",text,4
326,"4",text,4
327,"3",text,4
328,"2",text,4
329,"2",text,4
330,"4",text,4
331,"3",text,4
332,"4",text,4
333,"1",text,4
334,"4",text,4
335,"3",text,4
336,"2",text,4
337,"3",text,4
338,"4",img,4
339,"2",text,4
340,"4",text,4
341,"1",text,4
342,"4",text,4
343,"4",text,4
344,"2",text,4
345,"1",text,4
346,"4",text,4
347,"1",text,4
348,"1",text,4
349,"3",text,4
350,"3",text,4
351,"2|3",text,4
352,"2|3",text,4
353,"1|4",text,4
354,"1|3",text,4
355,"3|4",text,4
356,"3|4",text,4
357,"2|3",text,4
358,"2",text,4
359,"3",text,4
360,"3",text,4
361,"1",text,4
362,"4",text,4
363,"1",text,4
364,"2",text,4
365,"1",text,4
366,"2|4",text,4
367,"1|3",text,4
368,"1",text,4
369,"3",text,4
370,"1",text,4
371,"4",text,4
372,"1|4",text,4
373,"4",text,4
374,"1",text,4
375,"2",text,4
376,"4",text,4
377,"4",text,4
378,"3",text,4
379,"4",text,4
380,"1",text,4
381,"1",text,4
382,"2",text,4
383,"2",text,4
384,"1",text,4
385,"4",text,4
386,"4",text,4
387,"1|2",text,4
388,"2|3",text,4
389,"1",text,4
390,"1|3",text,4
391,"1|4",text,4
392,"4",text,4
393,"3",text,4
394,"1",text,4
395,"4",text,4
396,"2",text,4
397,"4",text,4
398,"1",text,4
399,"4",text,4
400,"2",text,4
401,"3",text,4
402,"1",text,4
403,"2",text,4
404,"4",text,4
405,"4",text,4
406,"2",text,4
407,"1",text,4
408,"4",text,4
409,"3",text,4
410,"1",text,4
411,"3",text,4
412,"4",text,4
413,"1",text,4
414,"4",text,4
415,"4",text,4
416,"2",text,4
417,"2",text,4
418,"4",text,4
419,"4",text,4
420,"4",text,4
421,"4",text,4
422,"2",text,4
423,"3",text,4
424,"4",text,4
425,"3",text,4
426,"1",text,4
427,"1|4",text,4
428,"3|4",text,4
429,"2|4",text,4
430,"3|4",text,4
431,"3|4",text,4
432,"3",text,4
433,"1",text,4
434,"2",text,4
435,"4",text,4
436,"1",text,4
437,"3",text,4
438,"2",text,4
439,"3",text,4
440,"2|3",text,4
441,"4",text,4
442,"2",text,4
443,"4",text,4
444,"4",text,4
445,"4",text,4
446,"3",text,4
447,"4",text,4
448,"2",text,4
449,"3",text,4
450,"4",text,4
451,"2|4",text,4
452,"3",text,4
453,"1",text,4
454,"2",text,4
455,"2|3",text,4
456,"2|4",text,4
457,"1|2",text,4
458,"1|4",text,4
459,"2|4",text,4
460,"2|3",text,4
461,"2",text,4
462,"4",text,4
463,"2",text,4
464,"4",text,4
465,"4",text,4
466,"2",text,4
467,"2",text,4
468,"1",text,4
469,"2|4",text,4
470,"2",text,4
471,"3",text,4
472,"2",text,4
473,"3",text,4
474,"4",text,4
475,"4",text,4
476,"4",text,4
477,"2|4",text,4
478,"1|3",text,4
479,"1|3",text,4
480,"2|4",text,4
481,"2|4",text,4
482,"4",text,4
483,"2",text,4
484,"1|4",text,4
485,"1|3",text,4
486,"4",text,4
487,"2",text,4
488,"3",text,4
489,"4",text,4
490,"3",text,4
491,"4",text,4
492,"1",text,4
493,"3|4",text,4
494,"3|4",text,4
495,"2",text,4
496,"2",text,4
497,"3",text,4
498,"4",text,4
499,"4",text,4
500,"1",text,4
501,"2",text,4
502,"4",text,4
503,"2",text,4
504,"3",text,4
505,"2|3",text,4
506,"1|2",text,4
507,"3",text,4
508,"1",text,4
509,"2",text,4
510,"1",text,4
511,"3",text,4
512,"4",text,4
513,"4",text,4
514,"1",text,4
515,"1",text,4
516,"3",text,4
517,"4",text,4
518,"1",text,4
519,"1",text,4
520,"1",text,4
521,"1",text,4
522,"2",text,4
523,"3",text,4
524,"4",text,4
525,"1",text,4
526,"4",text,4
527,"1",text,4
528,"3",text,4
529,"1|2",text,4
530,"4",text,4
531,"2",text,4
532,"3",text,4
533,"1",text,4
534,"3",text,4
535,"1",text,4
536,"1",text,4
537,"2",text,4
538,"3",text,4
539,"3",text,4
540,"2",text,4
541,"1",text,4
542,"1",text,4
543,"2",img,4
544,"4",text,4
545,"3",text,4
546,"4",text,4
547,"2",text,4
548,"2",text,4
549,"3",text,4
550,"1|3",text,4
551,"1|2",text,4
552,"1|4",text,4
553,"2|4",text,4
554,"1|3",text,4
555,"2|3",text,4
556,"3",text,4
557,"4",text,4
558,"4",text,4
559,"4",text,4
560,"2",text,4
561,"3",text,4
562,"3",text,4
563,"2",text,4
564,"4",text,4
565,"2",text,4
566,"4",text,4
567,"3",text,4
568,"2|4",text,4
569,"2|4",text,4
570,"3",text,4
571,"1",img,4
572,"1",text,4
573,"3",text,4
574,"3",text,4
575,"3",text,4
576,"2",text,4
577,"1|2",text,4
578,"2",text,4
579,"1",text,4
580,"1",text,4
581,"4",text,4
582,"3",text,4
583,"1",text,4
584,"3",text,4
585,"4",text,4
586,"1",text,4
587,"4",text,4
588,"3|4",text,4
589,"2|3",text,4
590,"3",text,4
591,"4",text,4
592,"1",text,4
593,"2",text,4
594,"4",text,4
595,"2",text,4
596,"1",text,4
597,"4",text,4
598,"4",text,4
599,"2",text,4
600,"2",text,4
601,"4",text,4
602,"2",text,4
603,"3",text,4
604,"1|2",text,4
605,"4",text,4
606,"2",text,4
607,"1",text,4
608,"4",text,4
609,"2",text,4
610,"2",text,4
611,"3",text,4
612,"1",text,4
613,"2",text,4
614,"4",text,4
615,"4",text,4
616,"4",text,4
617,"4",text,4
618,"2",text,4
619,"1",text,4
620,"4",text,4
621,"4",text,4
622,"1",text,4
623,"2",text,4
624,"4",text,4
625,"1",text,4
626,"2",text,4
627,"2",text,4
628,"4",text,4
629,"2",text,4
630,"1",text,4
631,"1",text,4
632,"4",text,4
633,"2",text,4
634,"1",text,4
635,"1",text,4
636,"2",text,4
637,"3",text,4
638,"3",text,4
639,"3",text,4
640,"3",text,4
641,"3",text,4
642,"2",text,4
643,"1",text,4
644,"3",text,4
645,"4",text,4
646,"3",text,4
647,"4",text,4
648,"1",text,4
649,"2",text,4
650,"2",text,4
651,"1",text,4
652,"2",text,4
653,"3",text,4
654,"2",text,4
655,"2",text,4
656,"3",text,4
657,"2",text,4
658,"3",text,4
659,"2",text,4
660,"3",text,4
661,"1",text,4
662,"4",text,4
663,"2",text,4
664,"3",text,4
665,"4",text,4
666,"3",text,4
667,"1",text,4
668,"4",text,4
669,"1",text,4
670,"3",text,4
671,"1",text,4
672,"1",text,4
673,"2",text,4
674,"4",text,4
675,"2",text,4
676,"4",text,4
677,"4",text,4
678,"1",text,4
679,"3",text,4
680,"2",text,4
681,"3|4",img,5
682,"1|2",img,5
683,"1|5",img,5
684,"4|5",img,5
685,"3|5",img,5
686,"2|3",img,5
687,"1|2",img,5
688,"1|2",img,5
689,"1|4",img,5
690,"1|5",img,5
691,"2|5",img,5
692,"1|2",img,5
693,"3|5",img,5
694,"1|4",img,5
695,"2|3",img,5
696,"2|3",img,5
697,"1|3",img,5
698,"2|3",img,5
699,"3|5",img,5
700,"1|4",img,5
701,"2|3",img,5
702,"3|4",img,5
703,"2|4",img,5
704,"2|3",img,5
705,"1|2",img,5
706,"2|5",img,5
707,"3|4",img,5
708,"4|5",img,5
709,"1|3",img,5
710,"1|5",img,5
711,"2|3",img,5
712,"1|3",img,5
713,"1|4",img,5
714,"1|4",img,5
715,"1|3",img,5
716,"3|4",img,5
717,"1|5",img,5
718,"3|5",img,5
719,"1|5",img,5
720,"1|3",img,5
721,"1|4",img,5
722,"2|4",img,5
723,"3|5",img,5
724,"1|3",img,5
725,"2|5",img,5
726,"2|4",img,5
727,"2|4",img,5
728,"1|5",img,5
729,"2|5",img,5
730,"4|5",img,5
731,"4|5",img,5
732,"1|4",img,5
733,"2|4",img,5
734,"1|4",img,5
735,"3|5",img,5
736,"2|4",img,5
737,"2|5",img,5
738,"4|5",img,5
739,"1|4",img,5
740,"2|4",img,5
741,"2|4",img,5
742,"3|5",img,5
743,"1|2",img,5
744,"4|5",img,5
745,"3|5",img,5
746,"3|5",img,5
747,"2|3",img,5
748,"2|4",img,5
749,"1|5",img,5
750,"2|5",img,5
751,"1|4",img,5
752,"3|4",img,5
753,"3|5",img,5
754,"3|4",img,5
755,"2|3",img,5
756,"1|5",img,5
757,"1|2",img,5
758,"1|4",img,5
759,"1|4",img,5
760,"2|3",img,5
761,"2|4",img,5
762,"2|5",img,5
763,"2|4",img,5
764,"1|3",img,5
765,"2|4",img,5
766,"3|5",img,5
767,"4|5",img,5
768,"2|4",img,5
769,"1|4",img,5
770,"2|4",img,5
771,"2|4",img,5
772,"4|5",img,5
773,"1|5",img,5
774,"3|4",img,5
775,"2|3",img,5
776,"1|4",img,5
777,"3|4",img,5
778,"1|2",img,5
779,"3|5",img,5
780,"1|5",img,5
781,"1|5",img,5
782,"2|5",img,5
783,"2|3",img,5
784,"3|5",img,5
785,"4|5",img,5
786,"3|4",img,5
787,"2|5",img,5
788,"1|2",img,5
789,"3|5",img,5
790,"1|5",img,5
791,"2|4",img,5
792,"3|4",img,5
793,"1|4",img,5
794,"1|4",img,5
795,"2|4",img,5
796,"2|3",img,5
797,"2|4",img,5
798,"3|4",img,5
799,"1|3",img,5
800,"2|5",img,5
801,"2|5",img,5
802,"1|3",img,5
803,"1|2",img,5
804,"2|5",img,5
805,"3|5",img,5
806,"2|3",img,5
807,"2|5",img,5
808,"1|2",img,5
809,"4|5",img,5
810,"1|2",img,5
811,"1|2",img,5
812,"2|4",img,5
813,"1|2",img,5
814,"3|5",img,5
815,"4|5",img,5
816,"1|2",img,5
817,"3|4",img,5
818,"1|4",img,5
819,"4|5",img,5
820,"1|4",img,5
821,"2|5",img,5
822,"2|3",img,5
823,"2|4",img,5
824,"4|5",img,5
825,"1|2",img,5
826,"1|4",img,5
827,"2|3",img,5
828,"3|5",img,5
829,"2|3",img,5
830,"2|4",img,5
831,"2|3",img,5
832,"2|3",img,5
833,"1|5",img,5
834,"2|5",img,5
835,"2|3",img,5
836,"2|3",img,5
837,"1|3",img,5
838,"2|5",img,5
839,"1|2",img,5
840,"1|5",img,5
841,"3|5",img,5
842,"2|5",img,5
843,"1|3",img,5
844,"1|4",img,5
845,"1|3",img,5
846,"3|4",img,5
847,"2|3",img,5
848,"1|4",img,5
849,"3|4",img,5
850,"2|3",img,5
851,"4|5",img,5
852,"2|3",img,5
853,"3|4",img,5
854,"2|4",img,5
855,"3|5",img,5
856,"3|4",img,5
857,"2|5",img,5
858,"2|4",img,5
859,"4|5",img,5
860,"1|5",img,5
861,"2|4",img,5
862,"1|4",img,5
863,"3|5",img,5
864,"1|3",img,5
865,"2|4",img,5
866,"4",img,4
867,"2",img,4
868,"3",img,4
869,"1",img,4
870,"3",img,4
871,"4",img,4
872,"1",img,4
873,"4",img,4
874,"2",img,4
875,"3",img,4
876,"4",img,4
877,"1",img,4
878,"3",img,4
879,"1",img,4
880,"2",img,4
881,"1",img,4
882,"1",img,4
883,"1",img,4
884,"3",img,4
885,"3",img,4
886,"1",img,4
887,"2",img,4
888,"3",img,4
889,"1",img,4
890,"4",img,4
891,"2",img,4
892,"2",img,4
893,"1",img,4
894,"4",img,4
895,"1",img,4
896,"2",img,4
897,"2",img,4
898,"3",img,4
899,"2",img,4
900,"2",img,4
901,"1",img,4
902,"2",img,4
903,"2",img,4
904,"3",img,4
905,"4",img,4
906,"4",img,4
907,"4",img,4
908,"4",img,4
909,"1",img,4
910,"1",img,4
911,"1",img,4
912,"4",img,4
913,"2",img,4
914,"2",img,4
915,"2",img,4
916,"1",img,4
917,"1",img,4
918,"4",img,4
919,"1",img,4
920,"2",img,4
921,"2",img,4
922,"1",img,4
923,"4",img,4
924,"4",img,4
925,"4",img,4
926,"3",img,4
927,"3",img,4
928,"4",img,4
929,"3",img,4
930,"3",img,4
931,"3|4",img,4
932,"4",img,4
933,"4",img,4
934,"1",img,4
935,"2",img,4
936,"1",img,4
937,"1",img,4
938,"2",img,4
939,"4",img,4
940,"3",img,4
941,"4",img,4
942,"3",img,4
943,"2",img,4
944,"3",img,4
945,"3",img,4
946,"1",img,4
947,"2",img,4
948,"3",img,4
949,"4",img,4
950,"2",img,4
951,"2",img,4
952,"4",img,4
953,"3",img,4
954,"2",img,4
955,"4",img,4
956,"2",img,4
957,"2",img,4
958,"4",img,4
959,"4",img,4
960,"4",img,4
961,"2",img,4
962,"4",img,4
963,"4",img,4
964,"1",img,4
965,"4",img,4
966,"3",text,4
967,"4",text,4
968,"4",text,4
969,"3",text,4
970,"3",text,4
971,"3",text,4
972,"4",text,4
973,"4",text,4
974,"1",text,4
975,"1",img,4
976,"1",text,4
977,"3",text,4
978,"4",text,4
979,"3",text,4
980,"2",text,4
981,"4",text,4
982,"4",text,4
983,"4",text,4
984,"3",text,4
985,"4",text,4
986,"4",text,4
987,"3",text,4
988,"3",text,4
989,"2",text,4
990,"1",text,4
991,"2",text,4
992,"1",text,4
993,"3",text,4
994,"3",text,4
995,"3",text,4
996,"4",text,4
997,"1",text,4
998,"1",text,4
999,"1",text,4
1000,"2",img,4
